agency_id,ori,legacy_ori,agency_name,short_name,agency_type_id,agency_type_name,tribe_id,campus_id,city_id,city_name,state_id,state_abbr,primary_county_id,primary_county,primary_county_fips,agency_status,submitting_agency_id,submitting_sai,submitting_name,submitting_state_abbr,start_year,dormant_year,current_year,revised_rape_start,current_nibrs_start_year,population,population_group_code,population_group_desc,population_source_flag,suburban_area_flag,core_city_flag,months_reported,nibrs_months_reported,past_10_years_reported,covered_by_id,covered_by_ori,covered_by_name,staffing_year,total_officers,total_civilians,icpsr_zip,icpsr_lat,icpsr_lng
20479,VA1300000,VA1300000,Williamsburg Police Department,Williamsburg,1,City,,,11145,Williamsburg,51,VA,3032,Williamsburg City,51830,A,23396,VAUCR0001,Virginia State Police Criminal Justice Information Services Division,VA,1960,,2016,2013,2016,14915,5,"Cities from 10,000 thru 24,999",M,Y,N,12,12,10,,,,2016,37,3,23185,37.269524,-76.708165
20193,VA0470000,VA0470000,James City County Sheriff's Office,James City,2,County,,,,,51,VA,2966,James City,51095,A,23396,VAUCR0001,Virginia State Police Criminal Justice Information Services Division,VA,1960,,2016,2014,1985,0,9D,"MSA counties under 10,000",L,Y,N,0,0,0,20194,VA0470100,James City County Police Department,1983,27,2,23185,37.324427,-76.778319
20225,VA056SP00,VA056SP00,State Police: Madison County,State Police: Madison County,4,State Police,,,,,51,VA,2977,Madison,51113,A,23396,VAUCR0001,Virginia State Police Criminal Justice Information Services Division,VA,1973,,2016,2013,2016,0,8D,"Non-MSA counties under 10,000",L,N,N,12,12,8,,,,2016,1,0,22701,38.412059,-78.276961
20487,VA1300900,VA1300900,Norfolk Airport Authority,Norfolk Airport Authority,5,Other,,,,,51,VA,3668,,,A,23396,VAUCR0001,Virginia State Police Criminal Justice Information Services Division,VA,1999,,2016,2013,2016,0,7,"Cities under 2,500",L,Y,N,12,12,10,,,,2016,37,8,23518,36.923015,-76.244641
20466,VA1230000,VA1230000,Roanoke Police Department,Roanoke,1,City,,,11115,Roanoke,51,VA,3010,Roanoke City,51770,A,23396,VAUCR0001,Virginia State Police Criminal Justice Information Services Division,VA,1960,,2016,2013,2016,99827,3,"Cities from 50,000 thru 99,000",M,N,Y,12,12,10,,,,2016,245,47,24016,37.278458,-79.958174
20129,VA0290100,VA0290100,Fairfax County Police Department,Fairfax County Police Department,2,County,,,,,51,VA,2940,Fairfax,51059,A,23396,VAUCR0001,Virginia State Police Criminal Justice Information Services Division,VA,1960,,2016,2013,2016,1106066,9A,"MSA counties 100,000 or over",L,Y,N,12,12,10,,,,2016,1414,203,22030,38.833742,-77.276117
20070,VA0090000,VA0090000,Bath County Sheriff's Office,Bath,2,County,,,,,51,VA,2910,Bath,51017,A,23396,VAUCR0001,Virginia State Police Criminal Justice Information Services Division,VA,1960,,2016,2013,2016,4513,8D,"Non-MSA counties under 10,000",L,N,N,12,12,8,,,,2016,12,7,24484,38.068988,-79.732898
20202,VA050SP00,VA050SP00,State Police: King William County,State Police: King William County,4,State Police,,,,,51,VA,2969,King William,51101,A,23396,VAUCR0001,Virginia State Police Criminal Justice Information Services Division,VA,1973,,2016,2013,2016,0,9D,"MSA counties under 10,000",L,Y,N,12,12,3,,,,2016,1,0,23181,37.70826,-77.091054
20174,VA0410000,VA0410000,Halifax County Sheriff's Office,Halifax,2,County,,,,,51,VA,2957,Halifax,51083,A,23396,VAUCR0001,Virginia State Police Criminal Justice Information Services Division,VA,1960,,2016,2013,2016,25680,8B,"Non-MSA counties from 25,000 thru 99,999",L,N,N,12,12,10,,,,2016,31,7,24558,36.766461,-78.939614
20063,VA0060100,VA0060100,Appomattox Police Department,Appomattox,1,City,,,10991,Appomattox,51,VA,2907,Appomattox,51011,A,23396,VAUCR0001,Virginia State Police Criminal Justice Information Services Division,VA,1981,,2016,2014,1989,1752,7,"Cities under 2,500",L,Y,N,0,0,0,20062,VA0060000,Appomattox,1988,2,0,24522,37.370725,-78.81094
20277,VA072SP00,VA072SP00,State Police: Powhatan County,State Police: Powhatan County,4,State Police,,,,,51,VA,3000,Powhatan,51145,A,23396,VAUCR0001,Virginia State Police Criminal Justice Information Services Division,VA,1973,,2016,2013,2016,0,9D,"MSA counties under 10,000",L,Y,N,12,12,7,,,,2016,1,0,23139,37.549404,-77.912855
20400,VA0990000,VA0990000,Alexandria Police Department,Alexandria,1,City,,,10987,Alexandria,51,VA,2903,Alexandria City,51510,A,23396,VAUCR0001,Virginia State Police Criminal Justice Information Services Division,VA,1960,,2016,2013,2016,152710,2,"Cities from 100,000 thru 249,000",M,N,Y,12,12,10,,,,2016,317,92,22314,38.818343,-77.082026
20399,VA098SP00,VA098SP00,State Police: York County,State Police: York County,4,State Police,,,,,51,VA,3036,York,51199,A,23396,VAUCR0001,Virginia State Police Criminal Justice Information Services Division,VA,1971,,2016,2013,2016,0,9D,"MSA counties under 10,000",L,Y,N,12,12,10,,,,2016,1,0,23187,37.220914,-76.395533
20458,VA1210000,VA1210000,Radford Police Department,Radford,1,City,,,11110,Radford,51,VA,3005,Radford City,51750,A,23396,VAUCR0001,Virginia State Police Criminal Justice Information Services Division,VA,1960,,2016,2013,2016,17911,5,"Cities from 10,000 thru 24,999",M,N,Y,12,12,10,,,,2016,37,12,24141,37.120036,-80.557048
20099,VA018SP00,VA018SP00,State Police: Carroll County,State Police: Carroll County,4,State Police,,,,,51,VA,2922,Carroll,51035,A,23396,VAUCR0001,Virginia State Police Criminal Justice Information Services Division,VA,1973,,2016,2013,2016,0,8D,"Non-MSA counties under 10,000",L,N,N,12,12,10,,,,2016,1,0,24333,36.731951,-80.727838
20489,VA1310000,VA1310000,Winchester Police Department,Winchester,1,City,,,11146,Winchester,51,VA,3033,Winchester City,51840,A,23396,VAUCR0001,Virginia State Police Criminal Justice Information Services Division,VA,1960,,2016,2013,2016,27821,4,"Cities from 25,000 thru 49,999",M,N,Y,12,12,10,,,,2016,72,24,22601,39.173869,-78.176356
20111,VA023SP00,VA023SP00,State Police: Craig County,State Police: Craig County,4,State Police,,,,,51,VA,2932,Craig,51045,A,23396,VAUCR0001,Virginia State Police Criminal Justice Information Services Division,VA,1973,,2016,2013,2016,0,9D,"MSA counties under 10,000",L,Y,N,12,12,8,,,,2016,1,0,24153,37.473129,-80.231734
20218,VA0540200,VA0540200,Mineral Police Department,Mineral,1,City,,,11087,Mineral,51,VA,2974,Louisa,51109,A,23396,VAUCR0001,Virginia State Police Criminal Justice Information Services Division,VA,1981,,2016,2014,2001,482,7,"Cities under 2,500",L,N,N,0,0,0,20216,VA0540000,Louisa,1981,1,0,23117,37.971681,-77.959178
20152,VA034SP00,VA034SP00,State Police: Frederick County,State Police: Frederick County,4,State Police,,,,,51,VA,2948,Frederick,51069,A,23396,VAUCR0001,Virginia State Police Criminal Justice Information Services Division,VA,1973,,2016,2013,2016,0,9D,"MSA counties under 10,000",L,Y,N,12,12,10,,,,2016,1,0,22602,39.203637,-78.263916
20047,VA0010700,VA0010700,Bloxom Police Department,Bloxom,1,City,,,10998,Bloxom,51,VA,2901,Accomack,51001,A,23396,VAUCR0001,Virginia State Police Criminal Justice Information Services Division,VA,2011,,2016,2013,,385,7,"Cities under 2,500",L,N,N,0,0,2,,,,2016,1,0,23308,37.765944,-75.757807
20143,VA032SP00,VA032SP00,State Police: Fluvanna County,State Police: Fluvanna County,4,State Police,,,,,51,VA,2945,Fluvanna,51065,A,23396,VAUCR0001,Virginia State Police Criminal Justice Information Services Division,VA,1973,,2016,2013,2016,0,9D,"MSA counties under 10,000",L,Y,N,12,12,7,,,,2016,1,0,23921,37.830576,-78.284435
20377,VA094049E,VA0940400,Emory and Henry College,Emory and Henry College,3,University or College,,194,,,51,VA,3029,Washington,51191,A,23396,VAUCR0001,Virginia State Police Criminal Justice Information Services Division,VA,1998,,2016,2013,2016,0,7,"Cities under 2,500",L,Y,N,12,12,10,,,,2016,2,4,,,
20120,VA0260300,VA0260300,Clinchco Police Department,Clinchco,1,City,,,11021,Clinchco,51,VA,2936,Dickenson,51051,A,23396,VAUCR0001,Virginia State Police Criminal Justice Information Services Division,VA,1998,,2016,2014,2004,319,7,"Cities under 2,500",L,N,N,0,0,2,20117,VA0260000,Dickenson,2007,1,0,24226,37.137081,-82.349208
20297,VA0770000,VA0770000,Pulaski County Sheriff's Office,Pulaski,2,County,,,,,51,VA,3004,Pulaski,51155,A,23396,VAUCR0001,Virginia State Police Criminal Justice Information Services Division,VA,1960,,2016,2013,2016,22511,9C,"MSA counties from 10,000 thru 24,999",L,Y,N,12,12,10,,,,2016,46,2,24301,37.063385,-80.713444
20351,VA0870300,VA0870300,Boykins Police Department,Boykins,1,City,,,11001,Boykins,51,VA,3019,Southampton,51175,A,23396,VAUCR0001,Virginia State Police Criminal Justice Information Services Division,VA,1994,,2016,2013,2016,539,7,"Cities under 2,500",L,N,N,12,12,10,,,,2016,2,0,23827,36.720173,-77.103856
20095,VA0170100,VA0170100,Bowling Green Police Department,Bowling Green,1,City,,,11000,Bowling Green,51,VA,2921,Caroline,51033,A,23396,VAUCR0001,Virginia State Police Criminal Justice Information Services Division,VA,1975,,2016,2013,2016,1162,7,"Cities under 2,500",L,Y,N,12,12,8,,,,2002,2,0,22427,38.030319,-77.352348
20096,VA017SP00,VA017SP00,State Police: Caroline County,State Police: Caroline County,4,State Police,,,,,51,VA,2921,Caroline,51033,A,23396,VAUCR0001,Virginia State Police Criminal Justice Information Services Division,VA,1973,,2016,2013,2016,0,9D,"MSA counties under 10,000",L,Y,N,12,12,10,,,,2016,1,0,22427,38.030319,-77.352348
20272,VA0710100,VA0710100,Chatham Police Department,Chatham,1,City,,,11014,Chatham,51,VA,2997,Pittsylvania,51143,A,23396,VAUCR0001,Virginia State Police Criminal Justice Information Services Division,VA,1975,,2016,2013,2016,1476,7,"Cities under 2,500",L,N,N,12,12,10,,,,2016,3,0,24   ,36.821721,-79.398502
20482,VA1300300,VA1300300,Virginia Commonwealth University,Virginia Commonwealth University,3,University or College,,860,,,51,VA,3668,,,A,23396,VAUCR0001,Virginia State Police Criminal Justice Information Services Division,VA,1975,,2016,2013,2016,0,7,"Cities under 2,500",L,Y,N,12,12,10,,,,2016,88,32,23284,37.531399,-77.476009
20461,VA1220300,VA1220300,Virginia State Capitol,Virginia State Capitol,6,Other State Agency,,,,,51,VA,3668,,,A,23396,VAUCR0001,Virginia State Police Criminal Justice Information Services Division,VA,1989,,2016,2013,2016,0,7,"Cities under 2,500",L,Y,N,12,12,10,,,,2016,60,11,23218,37.531399,-77.476009
20066,VA007990X,VA0079900,Pentagon Bombing 9/11/01,Pentagon Bombing 9/11/01,5,Other,,,,,51,VA,2908,Arlington,51013,A,23396,VAUCR0001,Virginia State Police Criminal Justice Information Services Division,VA,2001,2003,2016,2014,2003,0,9E,MSA State Police,L,Y,N,0,0,0,20065,VA0070100,Arlington County Police Department,,,,,,
20477,VA1290000,VA1290000,Waynesboro Police Department,Waynesboro,1,City,,,11141,Waynesboro,51,VA,3030,Waynesboro City,51820,A,23396,VAUCR0001,Virginia State Police Criminal Justice Information Services Division,VA,1960,,2016,2013,2016,21384,5,"Cities from 10,000 thru 24,999",M,N,Y,12,12,10,,,,2016,42,11,22980,38.067157,-78.90142
20118,VA0260100,VA0260100,Clintwood Police Department,Clintwood,1,City,,,11022,Clintwood,51,VA,2936,Dickenson,51051,A,23396,VAUCR0001,Virginia State Police Criminal Justice Information Services Division,VA,1981,,2016,2013,2016,1328,7,"Cities under 2,500",L,N,N,12,12,10,,,,2016,4,0,24228,37.137081,-82.349208
20413,VA105SP00,VA105SP00,State Police: Colonial Heights,State Police: Colonial Heights,4,State Police,,,,,51,VA,3668,,,A,23396,VAUCR0001,Virginia State Police Criminal Justice Information Services Division,VA,1975,,2016,2013,2016,0,7,"Cities under 2,500",L,Y,N,12,12,8,,,,2016,1,0,23834,37.261685,-77.396804
20220,VA0550000,VA0550000,Lunenburg County Sheriff's Office,Lunenburg,2,County,,,,,51,VA,2975,Lunenburg,51111,A,23396,VAUCR0001,Virginia State Police Criminal Justice Information Services Division,VA,1960,,2016,2013,2016,9402,8D,"Non-MSA counties under 10,000",L,N,N,12,12,10,,,,2016,13,6,23952,36.945757,-78.242313
20328,VA0830100,VA0830100,Lebanon Police Department,Lebanon,1,City,,,11074,Lebanon,51,VA,3013,Russell,51167,A,23396,VAUCR0001,Virginia State Police Criminal Justice Information Services Division,VA,1975,,2016,2013,2016,3336,6,"Cities from 2,500 thru 9,999",L,N,N,12,12,10,,,,2016,12,1,24266,36.93342,-82.095934
20176,VA041SP00,VA041SP00,State Police: Halifax County,State Police: Halifax County,4,State Police,,,,,51,VA,2957,Halifax,51083,A,23396,VAUCR0001,Virginia State Police Criminal Justice Information Services Division,VA,1973,,2016,2013,2016,0,8D,"Non-MSA counties under 10,000",L,N,N,12,12,10,,,,2016,1,0,24558,36.766461,-78.939614
20238,VA0600100,VA0600100,Blacksburg Police Department,Blacksburg,1,City,,,10996,Blacksburg,51,VA,2984,Montgomery,51121,A,23396,VAUCR0001,Virginia State Police Criminal Justice Information Services Division,VA,1960,,2016,2013,2016,44315,4,"Cities from 25,000 thru 49,999",L,N,Y,12,12,10,,,,2016,61,10,24060,37.174884,-80.387314
20317,VA081SP00,VA081SP00,State Police: Rockbridge County,State Police: Rockbridge County,4,State Police,,,,,51,VA,3011,Rockbridge,51163,A,23396,VAUCR0001,Virginia State Police Criminal Justice Information Services Division,VA,1973,,2016,2013,2016,0,8D,"Non-MSA counties under 10,000",L,N,N,12,12,10,,,,2016,1,0,24578,37.814517,-79.447754
20354,VA0880000,VA0880000,Spotsylvania County Sheriff's Office,Spotsylvania,2,County,,,,,51,VA,3020,Spotsylvania,51177,A,23396,VAUCR0001,Virginia State Police Criminal Justice Information Services Division,VA,1960,,2016,2013,2016,130392,9A,"MSA counties 100,000 or over",L,Y,N,12,12,10,,,,2016,181,49,22553,38.182311,-77.65628
20136,VA0300100,VA0300100,Remington Police Department,Remington,1,City,,,11111,Remington,51,VA,2943,Fauquier,51061,A,23396,VAUCR0001,Virginia State Police Criminal Justice Information Services Division,VA,2008,,2016,2014,2016,628,7,"Cities under 2,500",L,Y,N,12,12,5,,,,2016,1,0,22734,38.744103,-77.821585
20142,VA0320000,VA0320000,Fluvanna County Sheriff's Office,Fluvanna,2,County,,,,,51,VA,2945,Fluvanna,51065,A,23396,VAUCR0001,Virginia State Police Criminal Justice Information Services Division,VA,1960,,2016,2013,2016,26103,9B,"MSA counties from 25,000 thru 99,999",L,Y,N,12,12,10,,,,2016,35,14,22963,37.830576,-78.284435
20327,VA0830000,VA0830000,Russell County Sheriff's Office,Russell,2,County,,,,,51,VA,3013,Russell,51167,A,23396,VAUCR0001,Virginia State Police Criminal Justice Information Services Division,VA,1960,,2016,2013,2016,22830,8C,"Non-MSA counties from 10,000 thru 24,999",L,N,N,12,12,10,,,,2016,35,15,24266,36.93342,-82.095934
20273,VA0710200,VA0710200,Gretna Police Department,Gretna,1,City,,,11053,Gretna,51,VA,2997,Pittsylvania,51143,A,23396,VAUCR0001,Virginia State Police Criminal Justice Information Services Division,VA,1975,,2016,2013,2016,1240,7,"Cities under 2,500",L,N,N,12,12,10,,,,2016,3,0,24557,36.821721,-79.398502
20149,VA0340100,VA0340100,Middletown Police Department,Middletown,1,City,,,11086,Middletown,51,VA,2948,Frederick,51069,A,23396,VAUCR0001,Virginia State Police Criminal Justice Information Services Division,VA,1975,,2016,2013,2016,1331,7,"Cities under 2,500",L,Y,N,12,12,9,,,,2016,3,0,22645,39.203637,-78.263916
20085,VA0140000,VA0140000,Buchanan County Sheriff's Office,Buchanan,2,County,,,,,51,VA,2917,Buchanan,51027,A,23396,VAUCR0001,Virginia State Police Criminal Justice Information Services Division,VA,1960,,2016,2013,2016,21840,8C,"Non-MSA counties from 10,000 thru 24,999",L,N,N,12,12,10,,,,2016,33,13,24614,37.26812,-82.038151
20398,VA098S100,VA098S100,State Police: Poquoson,State Police: Poquoson,4,State Police,,,,,51,VA,3668,,,A,23396,VAUCR0001,Virginia State Police Criminal Justice Information Services Division,VA,1978,,2016,2013,2016,0,7,"Cities under 2,500",L,Y,N,12,12,4,,,,2016,1,0,23187,37.12836,-76.303534
20178,VA0420100,VA0420100,Ashland Police Department,Ashland,1,City,,,10992,Ashland,51,VA,2959,Hanover,51085,A,23396,VAUCR0001,Virginia State Police Criminal Justice Information Services Division,VA,1960,,2016,2013,2016,7353,6,"Cities from 2,500 thru 9,999",L,Y,N,12,12,10,,,,2016,25,3,23005,37.760165,-77.490992
20205,VA0510300,VA0510300,White Stone Police Department,White Stone,1,City,,,11144,White Stone,51,VA,2970,Lancaster,51103,A,23396,VAUCR0001,Virginia State Police Criminal Justice Information Services Division,VA,2007,,2016,2013,2016,343,7,"Cities under 2,500",L,N,N,12,12,10,,,,2013,2,0,22578,37.703831,-76.413199
20446,VA1170100,VA1170100,Elizabeth River Tunnel Commission,Elizabeth River Tunnel Commission,5,Other,,,11092,Norfolk,51,VA,3668,,,A,23396,VAUCR0001,Virginia State Police Criminal Justice Information Services Division,VA,1975,,2016,2014,2000,0,7,"Cities under 2,500",L,Y,N,0,0,0,20445,VA1170000,Norfolk,,,,23523,36.923015,-76.244641
20468,VA123SP00,VA123SP00,State Police: Roanoke,State Police: Roanoke,4,State Police,,,,,51,VA,3668,,,A,23396,VAUCR0001,Virginia State Police Criminal Justice Information Services Division,VA,1975,,2016,2013,2016,0,7,"Cities under 2,500",L,Y,N,12,12,10,,,,2016,1,0,24153,37.278458,-79.958174
20059,VA0050100,VA0050100,Amherst Police Department,Amherst,1,City,,,10989,Amherst,51,VA,2906,Amherst,51009,A,23396,VAUCR0001,Virginia State Police Criminal Justice Information Services Division,VA,1966,,2016,2013,2016,2200,7,"Cities under 2,500",L,Y,N,12,12,10,,,,2016,4,0,24521,37.630362,-79.147848
20454,VA1190300,VA1190300,Central State Hospital,Central State Hospital,6,Other State Agency,,,,,51,VA,3668,,,A,23396,VAUCR0001,Virginia State Police Criminal Justice Information Services Division,VA,1999,,2016,2013,2016,0,7,"Cities under 2,500",L,Y,N,0,5,9,20452,VA1190000,Petersburg,2015,15,1,23803,37.20473,-77.392368
20425,VA1090100,VA1090100,University of Mary Washington,University of Mary Washington,3,University or College,,749,,,51,VA,3668,,,A,23396,VAUCR0001,Virginia State Police Criminal Justice Information Services Division,VA,1977,,2016,2013,,0,7,"Cities under 2,500",L,Y,N,0,0,4,,,,2016,16,6,22401,38.299272,-77.486658
20249,VA0650000,VA0650000,Northampton County Sheriff's Office,Northampton,2,County,,,,,51,VA,2989,Northampton,51131,A,23396,VAUCR0001,Virginia State Police Criminal Justice Information Services Division,VA,1960,,2016,2013,2016,9596,8D,"Non-MSA counties under 10,000",L,N,N,12,12,10,,,,2016,66,18,23347,37.302629,-75.923868
20481,VA1300200,VA1300200,Radford University,Radford University,3,University or College,,487,,,51,VA,3668,,,A,23396,VAUCR0001,Virginia State Police Criminal Justice Information Services Division,VA,1975,,2016,2013,2016,0,7,"Cities under 2,500",L,Y,N,12,12,10,,,,2016,25,7,24142,37.120036,-80.557048
20200,VA0500000,VA0500000,King William County Sheriff's Office,King William,2,County,,,,,51,VA,2969,King William,51101,A,23396,VAUCR0001,Virginia State Police Criminal Justice Information Services Division,VA,1960,,2016,2013,2016,12859,9C,"MSA counties from 10,000 thru 24,999",L,Y,N,12,12,10,,,,2016,19,13,23086,37.70826,-77.091054
20295,VA075S200,VA075S200,State Police: Manassas Park,State Police: Manassas Park,4,State Police,,,,,51,VA,3668,,,A,23396,VAUCR0001,Virginia State Police Criminal Justice Information Services Division,VA,1978,,2016,2013,2016,0,7,"Cities under 2,500",L,Y,N,12,12,2,,,,2016,1,0,22110,38.768991,-77.44868
20357,VA089SP00,VA089SP00,State Police: Stafford County,State Police: Stafford County,4,State Police,,,,,51,VA,3021,Stafford,51179,A,23396,VAUCR0001,Virginia State Police Criminal Justice Information Services Division,VA,1973,,2016,2013,2016,0,9D,"MSA counties under 10,000",L,Y,N,12,12,10,,,,2016,1,0,22408,38.415386,-77.454872
20443,VA1160400,VA1160400,Christopher Newport University,Christopher Newport University,3,University or College,,115,,,51,VA,3668,,,A,23396,VAUCR0001,Virginia State Police Criminal Justice Information Services Division,VA,1980,,2016,2013,2016,0,7,"Cities under 2,500",L,Y,N,12,12,10,,,,2016,18,9,23606,37.075978,-76.521719
20147,VA033SP00,VA033SP00,State Police: Franklin County,State Police: Franklin County,4,State Police,,,,,51,VA,2946,Franklin,51067,A,23396,VAUCR0001,Virginia State Police Criminal Justice Information Services Division,VA,1973,,2016,2013,2016,0,9D,"MSA counties under 10,000",L,Y,N,12,12,10,,,,2016,1,0,24523,36.99235,-79.883959
20269,VA0700000,VA0700000,Patrick County Sheriff's Office,Patrick,2,County,,,,,51,VA,2995,Patrick,51141,A,23396,VAUCR0001,Virginia State Police Criminal Justice Information Services Division,VA,1960,,2016,2013,2016,18162,8C,"Non-MSA counties from 10,000 thru 24,999",L,N,N,12,12,10,,,,2016,54,15,24171,36.667327,-80.286141
20301,VA0780000,VA0780000,Rappahannock County Sheriff's Office,Rappahannock,2,County,,,,,51,VA,3006,Rappahannock,51157,A,23396,VAUCR0001,Virginia State Police Criminal Justice Information Services Division,VA,1960,,2016,2013,2016,7307,9D,"MSA counties under 10,000",L,Y,N,12,12,10,,,,2016,17,1,22747,38.684522,-78.168824
20154,VA0350100,VA0350100,Glen Lyn Police Department,Glen Lyn,1,City,,,11051,Glen Lyn,51,VA,2951,Giles,51071,A,23396,VAUCR0001,Virginia State Police Criminal Justice Information Services Division,VA,1981,,2016,2013,2016,116,7,"Cities under 2,500",L,Y,N,12,12,9,,,,2016,1,0,24093,37.31193,-80.717178
20206,VA051SP00,VA051SP00,State Police: Lancaster County,State Police: Lancaster County,4,State Police,,,,,51,VA,2970,Lancaster,51103,A,23396,VAUCR0001,Virginia State Police Criminal Justice Information Services Division,VA,1973,,2016,2013,2016,0,8D,"Non-MSA counties under 10,000",L,N,N,12,12,7,,,,2016,1,0,22572,37.703831,-76.413199
20103,VA020SP00,VA020SP00,State Police: Charlotte County,State Police: Charlotte County,4,State Police,,,,,51,VA,2924,Charlotte,51037,A,23396,VAUCR0001,Virginia State Police Criminal Justice Information Services Division,VA,1973,,2016,2013,2016,0,8D,"Non-MSA counties under 10,000",L,N,N,12,12,9,,,,2016,1,0,24558,37.014091,-78.661424
20283,VA0740100,VA0740100,Prince George County Police Department,Prince George County Police Department,2,County,,,,,51,VA,3002,Prince George,51149,A,23396,VAUCR0001,Virginia State Police Criminal Justice Information Services Division,VA,1995,,2016,2013,2016,37675,9B,"MSA counties from 25,000 thru 99,999",L,Y,N,12,12,10,,,,2016,54,25,23875,37.187325,-77.220993
20213,VA0530200,VA0530200,Middleburg Police Department,Middleburg,1,City,,,11085,Middleburg,51,VA,2973,Loudoun,51107,A,23396,VAUCR0001,Virginia State Police Criminal Justice Information Services Division,VA,1975,,2016,2013,2016,809,7,"Cities under 2,500",L,Y,N,12,12,10,,,,2016,6,0,20118,39.08113,-77.638857
20101,VA019SP00,VA019SP00,State Police: Charles City County,State Police: Charles City County,4,State Police,,,,,51,VA,2923,Charles City,51036,A,23396,VAUCR0001,Virginia State Police Criminal Justice Information Services Division,VA,1973,,2016,2013,2016,0,9D,"MSA counties under 10,000",L,Y,N,12,12,3,,,,2016,1,0,23181,37.361054,-77.05417
20197,VA048SP00,VA048SP00,State Police: King and Queen County,State Police: King and Queen County,4,State Police,,,,,51,VA,2967,King And Queen,51097,A,23396,VAUCR0001,Virginia State Police Criminal Justice Information Services Division,VA,1973,,2016,2013,2016,0,8D,"Non-MSA counties under 10,000",L,N,N,12,12,4,,,,2016,1,0,23181,37.71437,-76.901863
20480,VA1300100,VA1300100,College of William and Mary,College of William and Mary,3,University or College,,137,,,51,VA,3668,,,A,23396,VAUCR0001,Virginia State Police Criminal Justice Information Services Division,VA,1975,,2016,2013,2016,0,7,"Cities under 2,500",L,Y,N,12,12,10,,,,2016,20,8,23187,37.269524,-76.708165
20060,VA0050200,VA0050200,Central Virginia Training Center,Central Virginia Training Center,6,Other State Agency,,,11079,Lynchburg,51,VA,2906,Amherst,51009,A,23396,VAUCR0001,Virginia State Police Criminal Justice Information Services Division,VA,1977,,2016,2014,2003,0,7,"Cities under 2,500",L,Y,N,0,0,0,20058,VA0050000,Amherst,1993,7,0,24505,37.399016,-79.195458
20346,VA0860300,VA0860300,Chilhowie Police Department,Chilhowie,1,City,,,11016,Chilhowie,51,VA,3017,Smyth,51173,A,23396,VAUCR0001,Virginia State Police Criminal Justice Information Services Division,VA,1975,,2016,2013,2016,1741,7,"Cities under 2,500",L,N,N,12,12,10,,,,2016,6,0,24319,36.842318,-81.539786
20077,VA0110000,VA0110000,Bland County Sheriff's Office,Bland,2,County,,,,,51,VA,2913,Bland,51021,A,23396,VAUCR0001,Virginia State Police Criminal Justice Information Services Division,VA,1960,,2016,2013,2016,6558,8D,"Non-MSA counties under 10,000",L,N,N,12,12,10,,,,2016,10,8,24315,37.130612,-81.125853
